index,feature,group,importance
151,pros_empath_sleep,NLP_Empath,0.0020765755
152,pros_empath_occupation,NLP_Empath,0.0020248052
153,pros_empath_family,NLP_Empath,0.0016909679
154,pros_empath_vacation,NLP_Empath,0.002166026
155,pros_empath_health,NLP_Empath,0.0020899402
156,pros_empath_swearing_terms,NLP_Empath,0.0014170742
157,pros_empath_leisure,NLP_Empath,0.0018081492
158,pros_empath_suffering,NLP_Empath,0.002530964
159,pros_empath_wealthy,NLP_Empath,0.0017869219
160,pros_empath_exercise,NLP_Empath,0.0016716281
161,pros_empath_home,NLP_Empath,0.0020158095
162,pros_empath_rage,NLP_Empath,0.0008644585
163,pros_empath_fun,NLP_Empath,0.0017942237
164,pros_empath_negative_emotion,NLP_Empath,0.002020424
165,pros_empath_payment,NLP_Empath,0.0017237752
166,pros_empath_achievement,NLP_Empath,0.0022537422
167,cons_empath_help,NLP_Empath,0.0019988948
168,cons_empath_office,NLP_Empath,0.0015290738
169,cons_empath_money,NLP_Empath,0.0020812198
170,cons_empath_domestic_work,NLP_Empath,0.0015838032
171,cons_empath_sleep,NLP_Empath,0.0019230571
172,cons_empath_occupation,NLP_Empath,0.0033209778
173,cons_empath_family,NLP_Empath,0.0019005367
174,cons_empath_vacation,NLP_Empath,0.002110192
175,cons_empath_health,NLP_Empath,0.0017901205
176,cons_empath_swearing_terms,NLP_Empath,0.00957538
177,cons_empath_leisure,NLP_Empath,0.0016311326
178,cons_empath_suffering,NLP_Empath,0.0018445427
179,cons_empath_wealthy,NLP_Empath,0.0020168128
180,cons_empath_exercise,NLP_Empath,0.0017277021
181,cons_empath_home,NLP_Empath,0.0019376087
182,cons_empath_rage,NLP_Empath,0.0018622223
183,cons_empath_fun,NLP_Empath,0.0024674141
184,cons_empath_negative_emotion,NLP_Empath,0.0019457992
185,cons_empath_payment,NLP_Empath,0.0018473692
186,pros_sim_ODI_Depressed mood,PSYCH_ODI_sim,0.0019084939
187,cons_sim_ODI_Depressed mood,PSYCH_ODI_sim,0.0018382783
188,pros_sim_ODI_Sleep alterations,PSYCH_ODI_sim,0.0018054078
189,cons_sim_ODI_Sleep alterations,PSYCH_ODI_sim,0.003909306
190,pros_sim_ODI_Fatigue,PSYCH_ODI_sim,0.0077270013
191,cons_sim_ODI_Fatigue,PSYCH_ODI_sim,0.0053334394
192,pros_sim_ODI_Worthlessness,PSYCH_ODI_sim,0.0019977386
193,cons_sim_ODI_Worthlessness,PSYCH_ODI_sim,0.07074656
194,pros_sim_ODI_Anhedonia,PSYCH_ODI_sim,0.001959349
195,cons_sim_ODI_Anhedonia,PSYCH_ODI_sim,0.0030778595
196,pros_sim_ODI_Appetite alterations,PSYCH_ODI_sim,0.002138082
197,cons_sim_ODI_Appetite alterations,PSYCH_ODI_sim,0.0031497153
198,pros_sim_ODI_Cognitive impairment,PSYCH_ODI_sim,0.0018100593
199,cons_sim_ODI_Cognitive impairment,PSYCH_ODI_sim,0.0019858137
200,pros_sim_ODI_Psycomotor alterations,PSYCH_ODI_sim,0.0019513371
201,cons_sim_ODI_Psycomotor alterations,PSYCH_ODI_sim,0.016969683
202,pros_sim_ODI_Suicidal ideation,PSYCH_ODI_sim,0.0018679181
203,cons_sim_ODI_Suicidal ideation,PSYCH_ODI_sim,0.0024797674
204,pros_sim_JDI_Work itself,PSYCH_JDI_sim,0.0046981624
205,cons_sim_JDI_Work itself,PSYCH_JDI_sim,0.0030711442
206,pros_sim_JDI_Pay,PSYCH_JDI_sim,0.005834824
207,cons_sim_JDI_Pay,PSYCH_JDI_sim,0.0018389059
208,pros_sim_JDI_Promotion,PSYCH_JDI_sim,0.0018410252
209,cons_sim_JDI_Promotion,PSYCH_JDI_sim,0.0022878975
210,pros_sim_JDI_Supervision,PSYCH_JDI_sim,0.0029270933
211,cons_sim_JDI_Supervision,PSYCH_JDI_sim,0.012047273
212,pros_sim_JDI_Coworkers,PSYCH_JDI_sim,0.012629865
213,cons_sim_JDI_Coworkers,PSYCH_JDI_sim,0.0019850966
214,GDP per capita,GEO_state_numeric,0.0017424425
215,Population,GEO_state_numeric,0.0014085091
216,Precipitation,GEO_state_numeric,0.0014520382
217,AverageTemperatureF,GEO_state_numeric,0.0012668968
218,AverageTemperatureAvgHighF,GEO_state_numeric,0.0017431702
219,AverageTemperatureAvgLowF,GEO_state_numeric,0.0012979078
220,Republican/lean Rep.,GEO_state_numeric,0.0013975076
221,No lean,GEO_state_numeric,0.0015290376
222,Democrat/lean Dem.,GEO_state_numeric,0.0015403416
223,Crime index,GEO_state_numeric,0.0014927022
224,Price per square foot ($),GEO_state_numeric,0.0015009126
225,PercentHighSchoolOrHigher,GEO_state_numeric,0.0012972017
226,PercentBachelorsOrHigher,GEO_state_numeric,0.001491205
227,State Tax Rate,GEO_state_numeric,0.0014772821
228,Market Capitalization,COMPANY,0.004117353
229,NumberofEmployees,COMPANY,0.0025284528
230,Market Cap per Employee,COMPANY,0.0023091917
231,Founded,COMPANY,0.0019346095
232,month,TEMPORAL,0.0010858068
233,year,TEMPORAL,0.0019663072
234,stock_percchange_month,STOCK,0.0013954865
235,stock_percchange_year,STOCK,0.0015098637
236,sp500_percchange_month,STOCK,0.0012416616
237,sp500_percchange_year,STOCK,0.0014337675
238,summary_ld_FW,NLP_POS_tags,0.001622979
239,summary_ld_POS,NLP_POS_tags,0.0016540384
240,pros_ld_#,NLP_POS_tags,0.0016643676
241,cons_ld_WP$,NLP_POS_tags,0.0
242,cons_ld_#,NLP_POS_tags,0.0015702599
243,cons_ld_LS,NLP_POS_tags,0.0010052754
244,summary_ld_#,NLP_POS_tags,0.0
245,pros_ld_WP$,NLP_POS_tags,0.0
246,pros_ld_LS,NLP_POS_tags,0.0
247,summary_ld_SYM,NLP_POS_tags,0.0
248,summary_ld_WP$,NLP_POS_tags,0.0
249,summary_ld_LS,NLP_POS_tags,0.0
250,days from review to t0,TEMPORAL,0.0050576166
251,days from foundation to t0,TEMPORAL,0.0
252,days from foundation to review,TEMPORAL,0.0032053005
253,State name_targenc_median,GEO_state_OHE,0.0024859742
254,State name_targenc_mean,GEO_state_OHE,0.002634837
255,Sector_targenc_median,TARGET_ENC,0.0
256,Sector_targenc_mean,TARGET_ENC,0.003507024
257,State name_Alabama_ohe,GEO_state_OHE,0.001503049
258,State name_Alaska_ohe,GEO_state_OHE,0.0
259,State name_Arizona_ohe,GEO_state_OHE,0.00179101
260,State name_Arkansas_ohe,GEO_state_OHE,0.0012640507
261,State name_Bermuda_ohe,GEO_state_OHE,0.0
262,State name_California_ohe,GEO_state_OHE,0.0
263,State name_Canada_ohe,GEO_state_OHE,0.0
264,State name_Colorado_ohe,GEO_state_OHE,0.0015509768
265,State name_Connecticut_ohe,GEO_state_OHE,0.0019238318
266,State name_Delaware_ohe,GEO_state_OHE,0.0023163352
267,State name_District of Columbia_ohe,GEO_state_OHE,0.0
268,State name_Florida_ohe,GEO_state_OHE,0.0
269,State name_Georgia_ohe,GEO_state_OHE,0.001579671
270,State name_Hawaii_ohe,GEO_state_OHE,0.0015969722
271,State name_Idaho_ohe,GEO_state_OHE,0.0015923369
272,State name_Illinois_ohe,GEO_state_OHE,0.0015161777
273,State name_Indiana_ohe,GEO_state_OHE,0.00201287
274,State name_Iowa_ohe,GEO_state_OHE,0.002004272
275,State name_Ireland_ohe,GEO_state_OHE,0.0014943719
276,State name_Israel_ohe,GEO_state_OHE,0.0
277,State name_Kansas_ohe,GEO_state_OHE,0.0
278,State name_Kentucky_ohe,GEO_state_OHE,0.0012477229
279,State name_Louisiana_ohe,GEO_state_OHE,0.0
280,State name_Maine_ohe,GEO_state_OHE,0.0014691366
281,State name_Maryland_ohe,GEO_state_OHE,0.0020048372
282,State name_Massachusetts_ohe,GEO_state_OHE,0.0012394947
283,State name_Michigan_ohe,GEO_state_OHE,0.0019083216
284,State name_Minnesota_ohe,GEO_state_OHE,0.0013781104
285,State name_Mississippi_ohe,GEO_state_OHE,0.0
286,State name_Missouri_ohe,GEO_state_OHE,0.0019931453
287,State name_Montana_ohe,GEO_state_OHE,0.00093502144
288,State name_Nebraska_ohe,GEO_state_OHE,0.0014177102
289,State name_Netherlands_ohe,GEO_state_OHE,0.0
290,State name_Nevada_ohe,GEO_state_OHE,0.0
291,State name_New Hampshire_ohe,GEO_state_OHE,0.0
292,State name_New Jersey_ohe,GEO_state_OHE,0.0018106423
293,State name_New Mexico_ohe,GEO_state_OHE,0.0017657591
294,State name_New York_ohe,GEO_state_OHE,0.0013716107
295,State name_North Carolina_ohe,GEO_state_OHE,0.0014578222
296,State name_North Dakota_ohe,GEO_state_OHE,0.0
297,State name_Ohio_ohe,GEO_state_OHE,0.0015744981
298,State name_Oklahoma_ohe,GEO_state_OHE,0.0016849095
299,State name_Oregon_ohe,GEO_state_OHE,0.0031190056
300,State name_Pennsylvania_ohe,GEO_state_OHE,0.0015967247
301,State name_Rhode Island_ohe,GEO_state_OHE,0.0016301672
302,State name_South Carolina_ohe,GEO_state_OHE,0.0016491581
303,State name_South Dakota_ohe,GEO_state_OHE,0.0
304,State name_Switzerland_ohe,GEO_state_OHE,0.0
305,State name_Tennessee_ohe,GEO_state_OHE,0.0058482946
306,State name_Texas_ohe,GEO_state_OHE,0.0016658427
307,State name_United Kingdom_ohe,GEO_state_OHE,0.0
308,State name_Utah_ohe,GEO_state_OHE,0.0
309,State name_Vermont_ohe,GEO_state_OHE,0.0
310,State name_Virginia_ohe,GEO_state_OHE,0.002117003
311,State name_Washington_ohe,GEO_state_OHE,0.002337119
312,State name_West Virginia_ohe,GEO_state_OHE,0.0
313,State name_Wisconsin_ohe,GEO_state_OHE,0.0
314,State name_Wyoming_ohe,GEO_state_OHE,0.0
315,Sector_Commercial Services_ohe,SECTOR_OHE,0.0016386495
316,Sector_Communications_ohe,SECTOR_OHE,0.0019820856
317,Sector_Consumer Durables_ohe,SECTOR_OHE,0.0016133509
318,Sector_Consumer Non-Durables_ohe,SECTOR_OHE,0.0026683612
319,Sector_Consumer Services_ohe,SECTOR_OHE,0.0023099636
320,Sector_Distribution Services_ohe,SECTOR_OHE,0.0024827742
321,Sector_Electronic Technology_ohe,SECTOR_OHE,0.0015256837
322,Sector_Energy Minerals_ohe,SECTOR_OHE,0.0022965565
323,Sector_Finance_ohe,SECTOR_OHE,0.0012504737
324,Sector_Health Services_ohe,SECTOR_OHE,0.0
325,Sector_Health Technology_ohe,SECTOR_OHE,0.001994063
326,Sector_Industrial Services_ohe,SECTOR_OHE,0.0017658034
327,Sector_Non-Energy Minerals_ohe,SECTOR_OHE,0.0016368531
328,Sector_Process Industries_ohe,SECTOR_OHE,0.0019452573
329,Sector_Producer Manufacturing_ohe,SECTOR_OHE,0.0020797544
330,Sector_Retail Trade_ohe,SECTOR_OHE,0.0029921716
331,Sector_Technology Services_ohe,SECTOR_OHE,0.0
332,Sector_Transportation_ohe,SECTOR_OHE,0.009187118
333,Sector_Utilities_ohe,SECTOR_OHE,0.0015682735
